Log{id='a87bab65-c7a2-4aab-a6fb-1e7d3c4a48d2', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:23:34.850683200'}
Log{id='c28d4745-c928-43c1-bfae-0ea9fca64e24', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:24:34.850964200'}
Log{id='286a4fb9-8ef4-4907-8367-9669ddf50c7e', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:25:34.853343400'}
Log{id='261da089-07d0-4c84-adde-5783f0883c0a', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:26:34.853863'}
Log{id='1fd498c9-cd7e-4116-b30f-e2f9c6312243', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:27:34.853435200'}
Log{id='6a932e6b-9a68-4673-a8c4-fb0376972f89', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:28:34.855248300'}
Log{id='1f50c377-ed24-4f58-9822-fe1d08239adb', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:29:34.854564300'}
Log{id='c1b918d7-9735-453a-80c3-2e8d2571030c', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:30:34.855100700'}
Log{id='ee9e3bbc-0784-47d6-986e-9a346a3238c6', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:31:34.855313700'}
Log{id='346a8467-3002-4a3d-b4dd-c6ffbfa2db77', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:32:34.858092900'}
Log{id='2522990d-95ce-4b7d-b1d7-2376c71bc944', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:33:34.857927600'}
Log{id='0bb16beb-d0ab-428c-9279-dc035f863c52', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:34:34.863298800'}
Log{id='44f4ea94-abf2-46f6-abd0-bcaf17c2fb9e', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:35:34.861476100'}
Log{id='e6ed7d1c-0ff3-473c-8d58-1ca5dd9f027c', action='UPDATE_TA_PROFILE', user='ych', details='TA profile updated: ych', timestamp='2026-04-09T19:36:34.870208600'}
